	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000100868.1	18.5288120304955	0.304313160182028	0.622265902579351	0.489040390804994	0.624813101609573	0.802230772438527
ENSMUSG00000025920.19	14478.3863523607	0.11656780970778	0.0754301988236499	1.54537322618368	0.122256012568353	0.2933591049391
ENSMUSG00000089982.7	21.0233433293487	-0.422294939896606	0.783715009658704	-0.538837376714922	0.589999070866082	0.778828402863523
ENSMUSG00000025939.19	7784.58425341103	0.0718402446694753	0.111747794076528	0.642878414407687	0.520302996765824	0.728731228561485
ENSMUSG00000102457.1	75.9496008643188	1.00971084320554	0.394653892046267	2.55847177376163	0.01051333546699	0.0470555163494435
ENSMUSG00000079658.9	6484.3744034162	-0.0429260699906539	0.106690375993736	-0.402342475512265	0.687431998840109	0.842740077445704
ENSMUSG00000097744.1	2.59623538593625	-0.678435553536848	1.7395534869442	-0.390005572480917	0.696532426331585	NA
ENSMUSG00000100959.1	1.56199870991933	-1.58836285145407	3.12558451347778	-0.508181060088095	0.61132637209956	NA
ENSMUSG00000025940.6	2188.39283082207	-0.196458977610163	0.0906006935588163	-2.16840478690846	0.0301279018125979	0.1069101399409
ENSMUSG00000025779.10	54.1238022777052	-0.327852930855273	0.35299760228564	-0.928768152339969	0.353009252599344	0.582737938284104
ENSMUSG00000100093.1	0.178496608508136	-2.07469943152946	4.34231850319453	-0.477786102056576	0.632802453951062	NA
ENSMUSG00000091020.3	2.96957997014665	1.03176973166217	1.88451860301897	0.547497769461807	0.584036802473724	NA
ENSMUSG00000101640.1	20.127568334555	1.34730944337314	0.780998506252506	1.72511142158003	0.0845073945885314	0.226934348131343
ENSMUSG00000104133.1	5.87900109969495	-2.25382863665912	1.16550546388686	-1.93377783845199	0.0531404487022973	NA
ENSMUSG00000042686.5	9753.69280409679	0.325297007738143	0.107743140883134	3.01918994630929	0.00253451571409825	0.0148075706240949
ENSMUSG00000100110.1	2.30985043617083	-4.7120651752595	2.47881550906283	-1.90093419943181	0.0573106318748197	NA
ENSMUSG00000025777.8	10296.1171798155	-0.162286287424632	0.0877749237392273	-1.8488912380804	0.0644735191447269	0.186954630360989
ENSMUSG00000099899.1	11.0048666512632	-1.10018509097461	0.972043819080471	-1.13182664132915	0.257707324852993	0.481474574826809
ENSMUSG00000100272.1	0	NA	NA	NA	NA	NA
ENSMUSG00000100398.1	1.21491813803592	-1.96134500940792	3.26185244432289	-0.601297895256285	0.547641591189227	NA
ENSMUSG00000101589.1	40.8686699858429	1.06845552871771	0.593917451612301	1.79899668854179	0.0720192045353212	0.202556843749164
ENSMUSG00000102048.1	0.477076337266327	0.901813939204273	3.99917403336776	0.225500048680013	0.821590287503555	NA
ENSMUSG00000089534.1	0	NA	NA	NA	NA	NA
ENSMUSG00000067780.3	249.28775878603	-0.322460933277389	0.296853911519791	-1.08626135874882	0.277363377592745	0.504527458548219
ENSMUSG00000100053.1	33.1738212844234	0.0357179187631042	0.5797171518896	0.061612665153482	0.950871290772183	0.979595264940199
ENSMUSG00000085125.7	96.780961945453	0.20208066662915	0.391881067136903	0.51566835852918	0.60608605761133	0.789895894724291
ENSMUSG00000025776.13	1316.36496183827	-0.0450481603718878	0.113656677968082	-0.396352956792724	0.691844665331705	0.845577382276979
ENSMUSG00000099895.1	15.0348581681578	0.318741990828631	0.760374460461663	0.419190816371063	0.675076683242975	0.83484708197368
ENSMUSG00000100554.1	6.08768635112808	0.460658459678943	1.4716749114565	0.313016452270044	0.75426816269493	NA
ENSMUSG00000099473.1	8.94047028164546	-0.504131980757272	0.918590273474117	-0.548810492898689	0.583135508626516	NA
ENSMUSG00000099591.1	17.9754620834493	0.200337827271961	0.584789718222502	0.342580967190903	0.731913722522251	0.870212651162988
ENSMUSG00000109887.1	159.309545312854	-0.421719213827344	0.209540948839269	-2.01258616114614	0.0441581840417197	0.141945645902567
ENSMUSG00000102001.1	2.6020565032589	-2.13931096052088	2.40227745385141	-0.890534503868845	0.37317894992248	NA
ENSMUSG00000101717.2	0	NA	NA	NA	NA	NA
ENSMUSG00000025774.14	0	NA	NA	NA	NA	NA
ENSMUSG00000070977.4	0	NA	NA	NA	NA	NA
ENSMUSG00000073735.1	0	NA	NA	NA	NA	NA
ENSMUSG00000067773.6	0	NA	NA	NA	NA	NA
ENSMUSG00000101685.1	0.617468695931921	2.16461115647555	3.61711786834292	0.59843533864911	0.549549492015513	NA
ENSMUSG00000101306.1	0.0658532954539918	1.11879119426335	4.40735632396697	0.253846322381383	0.799614285152105	NA
ENSMUSG00000088800.1	0	NA	NA	NA	NA	NA
ENSMUSG00000101644.1	0	NA	NA	NA	NA	NA
ENSMUSG00000099433.1	0	NA	NA	NA	NA	NA
ENSMUSG00000089787.2	0.137344024055085	0	4.40735632396066	0	1	NA
ENSMUSG00000042596.7	0.191102111280075	0	4.40735632395072	0	1	NA
ENSMUSG00000100720.1	4.01000889944589	1.86938989149305	1.56700990716784	1.1929662237246	0.232882601408213	NA
ENSMUSG00000025927.13	16.2335739120446	-0.232849308811324	0.976771758282004	-0.238386610625261	0.811581251303718	0.912264932662902
ENSMUSG00000100538.1	0	NA	NA	NA	NA	NA
